customer,state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,effective_to_month_in_2011
TP87527,California,0,Basic,High School or Below,2011-02-15,Unemployed,F,Suburban,Divorced,Corporate,3,1,Branch,Four-Door Car,Large,2
VL80291,Nevada,0,Extended,Master,2011-01-04,Employed,F,Rural,Divorced,Personal,3,2,Web,Two-Door Car,Midsize,1
WL45773,California,0,Basic,Doctor,2011-01-02,Employed,F,Urban,Married,Special,2,2,Call Center,Four-Door Car,Midsize,1
TT36693,Nevada,1,Premium,College,2011-01-03,Employed,M,Suburban,Married,Personal,2,2,Branch,Four-Door Car,Midsize,1
PT12544,Arizona,0,Extended,College,2011-02-24,Employed,M,Urban,Married,Personal,2,2,Call Center,Four-Door Car,Midsize,2
CI24326,Oregon,0,Extended,Bachelor,2011-01-23,Unemployed,M,Suburban,Married,Personal,3,4,Web,Four-Door Car,Midsize,1
YQ73717,California,0,Basic,High School or Below,2011-01-31,Unemployed,M,Suburban,Married,Personal,1,4,Agent,Four-Door Car,Midsize,1
FG99706,Oregon,0,Extended,College,2011-01-06,Unemployed,F,Suburban,Single,Personal,3,1,Agent,Four-Door Car,Midsize,1
OM63414,Arizona,0,Basic,Bachelor,2011-02-21,Employed,F,Rural,Single,Personal,3,1,Agent,Two-Door Car,Large,2
JQ74890,Nevada,0,Extended,Bachelor,2011-01-19,Unemployed,M,Suburban,Single,Corporate,2,1,Branch,Four-Door Car,Midsize,1
FP93662,California,0,Extended,Master,2011-02-06,Employed,F,Suburban,Married,Corporate,2,4,Branch,Two-Door Car,Large,2
PF40592,Washington,0,Basic,College,2011-01-08,Medical Leave,F,Rural,Married,Personal,2,2,Web,Two-Door Car,Midsize,1
EW82164,California,0,Basic,Bachelor,2011-02-03,Employed,F,Suburban,Married,Personal,2,1,Agent,SUV,Small,2
KV99550,California,0,Basic,High School or Below,2011-02-14,Unemployed,M,Suburban,Married,Personal,3,2,Agent,Four-Door Car,Small,2
CA96230,California,0,Basic,Doctor,2011-02-10,Employed,M,Rural,Married,Personal,2,3,Branch,SUV,Midsize,2
QN17712,Oregon,0,Basic,College,2011-01-11,Unemployed,F,Urban,Divorced,Personal,3,1,Web,SUV,Midsize,1
KM79894,Arizona,0,Extended,Master,2011-01-21,Employed,M,Suburban,Married,Corporate,3,2,Agent,Four-Door Car,Midsize,1
DZ45471,Nevada,1,Basic,College,2011-02-03,Employed,M,Urban,Married,Personal,1,2,Web,Four-Door Car,Midsize,2
DE18949,Oregon,0,Basic,College,2011-01-16,Employed,F,Rural,Married,Corporate,3,1,Call Center,Two-Door Car,Small,1
BN74268,Arizona,0,Extended,College,2011-01-04,Employed,F,Suburban,Married,Personal,3,1,Branch,Four-Door Car,Midsize,1
QJ93301,Nevada,0,Premium,Master,2011-01-11,Employed,M,Urban,Married,Personal,3,3,Agent,Two-Door Car,Midsize,1
OO92815,Arizona,0,Extended,High School or Below,2011-02-04,Employed,F,Suburban,Married,Personal,1,1,Agent,Four-Door Car,Midsize,2
HV50891,Nevada,1,Extended,Doctor,2011-02-01,Employed,M,Suburban,Married,Personal,3,1,Branch,Two-Door Car,Midsize,2
RK59543,California,1,Basic,High School or Below,2011-02-05,Employed,F,Suburban,Single,Personal,3,2,Call Center,Four-Door Car,Midsize,2
IH54239,California,0,Basic,Master,2011-02-01,Employed,M,Rural,Married,Personal,3,2,Branch,Four-Door Car,Midsize,2
RC95515,Arizona,0,Basic,College,2011-01-16,Medical Leave,M,Urban,Divorced,Personal,3,3,Branch,Four-Door Car,Midsize,1
RB49468,Oregon,0,Basic,Bachelor,2011-01-20,Unemployed,F,Suburban,Single,Personal,3,1,Branch,Four-Door Car,Midsize,1
KC19420,California,0,Extended,College,2011-01-11,Disabled,F,Suburban,Married,Personal,3,1,Agent,SUV,Large,1
TP12241,California,0,Basic,College,2011-02-07,Medical Leave,F,Urban,Married,Personal,3,1,Branch,Two-Door Car,Midsize,2
BD89564,Nevada,1,Premium,College,2011-01-19,Employed,M,Suburban,Single,Personal,3,2,Branch,Sports Car,Midsize,1
SG20925,Washington,0,Basic,Master,2011-01-23,Employed,F,Rural,Married,Personal,3,1,Call Center,Four-Door Car,Midsize,1
CJ97736,Oregon,0,Basic,College,2011-02-16,Employed,F,Suburban,Married,Personal,3,2,Web,Four-Door Car,Small,2
SK79760,Washington,0,Extended,Bachelor,2011-01-02,Medical Leave,M,Suburban,Divorced,Corporate,2,1,Branch,SUV,Midsize,1
YB70005,Oregon,0,Extended,College,2011-01-02,Employed,M,Rural,Married,Special,2,1,Branch,SUV,Large,1
QI40455,Oregon,0,Basic,Doctor,2011-02-27,Unemployed,F,Urban,Married,Personal,3,1,Branch,SUV,Large,2
YL72747,California,0,Basic,High School or Below,2011-01-25,Unemployed,M,Suburban,Divorced,Personal,3,1,Branch,Four-Door Car,Midsize,1
FL18392,California,0,Basic,Bachelor,2011-02-28,Employed,F,Urban,Married,Personal,3,3,Branch,Two-Door Car,Small,2
AL21967,Oregon,0,Extended,Master,2011-01-05,Employed,M,Rural,Married,Corporate,2,4,Call Center,Four-Door Car,Midsize,1
KC67431,California,0,Extended,College,2011-01-18,Employed,F,Rural,Married,Personal,2,3,Branch,Sports Car,Midsize,1
EG40823,Oregon,0,Basic,Bachelor,2011-01-20,Unemployed,F,Suburban,Married,Personal,2,1,Agent,SUV,Midsize,1
QO89177,California,0,Premium,College,2011-02-03,Employed,M,Suburban,Divorced,Personal,3,1,Agent,Four-Door Car,Small,2
AT36002,Washington,0,Basic,College,2011-02-04,Unemployed,F,Suburban,Single,Personal,1,1,Agent,Luxury SUV,Midsize,2
WI29961,Nevada,0,Basic,High School or Below,2011-02-03,Employed,M,Suburban,Married,Personal,2,2,Branch,Two-Door Car,Midsize,2
ZR11692,California,0,Basic,Bachelor,2011-01-29,Employed,M,Urban,Married,Corporate,3,3,Call Center,Four-Door Car,Midsize,1
No36572,Oregon,0,Premium,High School or Below,2011-02-16,Employed,M,Suburban,Married,Personal,2,2,Call Center,Four-Door Car,Large,2
YZ56105,California,0,Extended,High School or Below,2011-01-11,Unemployed,F,Suburban,Single,Personal,1,1,Branch,Two-Door Car,Midsize,1
MN62189,California,0,Basic,High School or Below,2011-01-19,Medical Leave,F,Suburban,Divorced,Personal,2,1,Agent,SUV,Midsize,1
MQ32284,California,0,Basic,College,2011-01-23,Employed,F,Suburban,Married,Personal,3,1,Agent,SUV,Midsize,1
NS38229,Nevada,0,Basic,College,2011-02-21,Employed,F,Rural,Married,Personal,2,1,Agent,Four-Door Car,Midsize,2
IB41597,California,0,Extended,College,2011-02-12,Employed,F,Urban,Married,Personal,3,1,Agent,Four-Door Car,Midsize,2
IP68868,Oregon,0,Premium,High School or Below,2011-01-18,Unemployed,M,Suburban,Single,Personal,2,1,Branch,Two-Door Car,Small,1
EL70257,California,0,Basic,High School or Below,2011-01-01,Employed,F,Suburban,Divorced,Personal,1,1,Agent,Four-Door Car,Midsize,1
NB27041,Arizona,1,Premium,High School or Below,2011-01-21,Employed,F,Suburban,Married,Corporate,3,2,Web,Four-Door Car,Large,1
BM28359,Oregon,0,Basic,High School or Below,2011-01-29,Employed,M,Urban,Single,Personal,3,2,Agent,Four-Door Car,Large,1
VB77950,California,0,Extended,High School or Below,2011-01-07,Medical Leave,F,Suburban,Married,Personal,2,1,Agent,Four-Door Car,Midsize,1
PE47967,Oregon,0,Basic,College,2011-01-15,Employed,F,Rural,Divorced,Personal,1,2,Branch,Luxury SUV,Midsize,1
QR47308,Nevada,0,Basic,College,2011-01-15,Employed,F,Urban,Married,Personal,3,2,Web,Four-Door Car,Large,1
YU49449,California,0,Basic,Bachelor,2011-02-07,Employed,M,Suburban,Married,Personal,2,1,Agent,Four-Door Car,Midsize,2
KN25124,Oregon,0,Basic,Master,2011-01-09,Employed,F,Urban,Married,Personal,2,1,Branch,Two-Door Car,Midsize,1
HI51182,Oregon,0,Premium,College,2011-01-03,Employed,F,Suburban,Married,Personal,3,1,Branch,Four-Door Car,Midsize,1
MS18916,California,1,Extended,College,2011-01-05,Medical Leave,M,Suburban,Married,Personal,1,2,Branch,Four-Door Car,Small,1
IE40701,California,0,Basic,High School or Below,2011-01-30,Employed,M,Suburban,Married,Personal,2,2,Call Center,Four-Door Car,Small,1
UT48216,Nevada,1,Extended,College,2011-01-14,Employed,M,Suburban,Single,Personal,1,2,Agent,Luxury SUV,Small,1
VN92740,Arizona,1,Basic,College,2011-01-11,Employed,F,Rural,Single,Corporate,3,2,Agent,Two-Door Car,Midsize,1
IZ55070,Nevada,0,Basic,High School or Below,2011-01-07,Employed,F,Suburban,Married,Personal,2,2,Web,Four-Door Car,Midsize,1
PQ19113,Washington,0,Premium,Bachelor,2011-02-10,Employed,F,Urban,Married,Personal,2,4,Agent,SUV,Midsize,2
AW48347,Washington,1,Extended,Master,2011-01-31,Unemployed,M,Suburban,Single,Personal,3,1,Agent,SUV,Small,1
DY30071,Oregon,0,Basic,Bachelor,2011-01-07,Employed,M,Rural,Married,Personal,3,2,Agent,Four-Door Car,Small,1
ZN24083,Oregon,0,Basic,Doctor,2011-02-26,Employed,M,Suburban,Divorced,Corporate,2,1,Web,Four-Door Car,Small,2
JU74347,Oregon,0,Basic,Bachelor,2011-01-03,Employed,M,Urban,Married,Corporate,3,1,Agent,Sports Car,Small,1
YJ35850,Oregon,0,Extended,High School or Below,2011-02-10,Employed,M,Urban,Married,Personal,3,2,Web,SUV,Midsize,2
JP41935,Washington,0,Basic,High School or Below,2011-02-10,Employed,M,Suburban,Married,Personal,2,2,Branch,Four-Door Car,Midsize,2
PW51793,Oregon,0,Extended,Bachelor,2011-01-02,Employed,M,Suburban,Divorced,Personal,2,1,Branch,Four-Door Car,Small,1
UF59346,California,0,Basic,Bachelor,2011-02-09,Employed,M,Rural,Married,Personal,1,2,Call Center,SUV,Small,2
FG29932,California,1,Extended,College,2011-01-14,Employed,M,Suburban,Single,Special,2,2,Agent,Luxury SUV,Small,1
RI85578,Washington,0,Basic,Bachelor,2011-02-22,Employed,F,Suburban,Married,Personal,3,2,Call Center,Two-Door Car,Small,2
PT15464,Arizona,0,Basic,Bachelor,2011-02-03,Employed,F,Rural,Married,Personal,3,2,Agent,SUV,Midsize,2
BP92643,Arizona,1,Premium,High School or Below,2011-02-01,Employed,F,Suburban,Single,Personal,1,1,Agent,Four-Door Car,Midsize,2
NG85002,Washington,0,Extended,High School or Below,2011-01-26,Employed,M,Suburban,Married,Corporate,3,2,Branch,SUV,Midsize,1
GQ46925,Arizona,0,Premium,High School or Below,2011-02-15,Employed,M,Urban,Married,Personal,1,4,Call Center,Sports Car,Midsize,2
RF14806,Arizona,0,Extended,College,2011-02-18,Employed,F,Suburban,Divorced,Personal,3,2,Branch,Four-Door Car,Midsize,2
KJ23009,California,0,Extended,Bachelor,2011-02-26,Employed,F,Suburban,Married,Corporate,3,3,Agent,SUV,Midsize,2
IB81655,California,0,Basic,Bachelor,2011-01-24,Employed,M,Suburban,Single,Personal,2,1,Branch,SUV,Midsize,1
GK92563,Washington,0,Extended,Doctor,2011-01-10,Employed,F,Rural,Divorced,Personal,2,2,Agent,Two-Door Car,Midsize,1
HR64684,Oregon,0,Extended,Master,2011-02-08,Unemployed,M,Suburban,Divorced,Personal,2,1,Agent,Four-Door Car,Midsize,2
QS96715,Nevada,0,Basic,High School or Below,2011-01-30,Employed,F,Rural,Married,Personal,2,3,Web,SUV,Midsize,1
SW55711,Oregon,0,Premium,High School or Below,2011-02-04,Disabled,M,Suburban,Married,Corporate,3,3,Branch,Two-Door Car,Midsize,2
LZ19268,California,1,Basic,College,2011-01-26,Medical Leave,F,Suburban,Married,Personal,3,1,Branch,Sports Car,Large,1
KB99097,California,1,Basic,Bachelor,2011-01-30,Unemployed,F,Suburban,Single,Special,3,1,Web,Two-Door Car,Midsize,1
AP52126,Oregon,0,Basic,College,2011-01-28,Employed,F,Rural,Married,Personal,3,2,Branch,SUV,Midsize,1
EX61844,Arizona,0,Basic,High School or Below,2011-02-27,Employed,M,Urban,Married,Personal,2,2,Agent,Four-Door Car,Midsize,2
QC30857,Nevada,0,Basic,College,2011-02-28,Employed,F,Urban,Married,Personal,2,1,Agent,Two-Door Car,Midsize,2
RT69513,California,0,Basic,Bachelor,2011-02-25,Unemployed,F,Suburban,Married,Personal,2,2,Agent,Four-Door Car,Small,2
HV85198,Arizona,0,Basic,Master,2011-02-01,Employed,M,Urban,Married,Personal,3,1,Branch,Four-Door Car,Small,2
BS91566,Arizona,0,Basic,College,2011-02-04,Employed,F,Rural,Married,Corporate,2,2,Call Center,Four-Door Car,Large,2
IL40123,Nevada,0,Basic,College,2011-01-27,Employed,F,Suburban,Married,Corporate,3,2,Branch,Two-Door Car,Midsize,1
MY32149,California,0,Extended,Master,2011-01-18,Unemployed,F,Rural,Married,Personal,2,1,Agent,Two-Door Car,Midsize,1
SA91515,California,0,Basic,Bachelor,2011-01-28,Unemployed,M,Suburban,Married,Personal,1,1,Call Center,SUV,Large,1
SA25987,Washington,0,Premium,High School or Below,2011-01-29,Unemployed,M,Suburban,Single,Personal,2,3,Branch,Two-Door Car,Midsize,1
TB86706,Arizona,0,Basic,Master,2011-01-15,Unemployed,M,Rural,Married,Personal,1,4,Branch,Two-Door Car,Midsize,1
ZL73902,Nevada,1,Extended,Bachelor,2011-01-26,Employed,F,Suburban,Divorced,Personal,3,1,Agent,Four-Door Car,Midsize,1
KX23516,California,0,Extended,High School or Below,2011-02-20,Unemployed,F,Suburban,Married,Personal,3,4,Agent,SUV,Midsize,2
FN77294,California,0,Basic,High School or Below,2011-02-24,Employed,M,Suburban,Single,Personal,2,1,Branch,SUV,Midsize,2
VI78454,Arizona,0,Basic,College,2011-01-22,Employed,M,Suburban,Divorced,Personal,2,4,Call Center,Four-Door Car,Large,1
FP59138,Oregon,1,Extended,Master,2011-01-31,Unemployed,M,Suburban,Single,Personal,3,1,Agent,SUV,Small,1
XN62489,Oregon,1,Basic,Bachelor,2011-02-17,Retired,M,Suburban,Divorced,Corporate,3,2,Web,Four-Door Car,Midsize,2
GP66031,California,0,Basic,College,2011-01-24,Employed,F,Rural,Married,Corporate,1,2,Agent,Two-Door Car,Midsize,1
IX68587,Nevada,1,Basic,Master,2011-01-28,Disabled,F,Suburban,Divorced,Personal,2,1,Agent,Four-Door Car,Small,1
HX17929,California,1,Extended,High School or Below,2011-02-19,Retired,F,Suburban,Divorced,Personal,2,1,Agent,Four-Door Car,Large,2
IC59236,California,0,Basic,College,2011-01-28,Employed,F,Rural,Married,Corporate,3,1,Branch,Four-Door Car,Midsize,1
VG31922,Nevada,0,Premium,Bachelor,2011-02-06,Unemployed,F,Suburban,Married,Personal,3,1,Call Center,SUV,Small,2
HP87787,Arizona,1,Basic,Bachelor,2011-01-21,Employed,M,Rural,Married,Corporate,3,2,Agent,SUV,Midsize,1
AL78075,Oregon,0,Premium,High School or Below,2011-02-13,Unemployed,M,Suburban,Single,Personal,2,2,Branch,Four-Door Car,Midsize,2
WA97671,Arizona,0,Basic,Bachelor,2011-01-17,Unemployed,M,Suburban,Single,Personal,1,1,Branch,Four-Door Car,Midsize,1
QZ77637,Washington,0,Basic,College,2011-02-06,Employed,F,Rural,Married,Corporate,1,1,Agent,Four-Door Car,Large,2
FP11777,California,1,Extended,Doctor,2011-01-18,Employed,M,Suburban,Divorced,Corporate,2,2,Agent,Sports Car,Midsize,1
ID45268,California,0,Extended,College,2011-01-08,Unemployed,F,Suburban,Married,Personal,3,2,Web,Four-Door Car,Midsize,1
AX86150,Washington,0,Basic,High School or Below,2011-02-09,Employed,M,Rural,Single,Personal,1,4,Agent,Two-Door Car,Midsize,2
MW57614,Arizona,1,Basic,Bachelor,2011-01-11,Disabled,F,Suburban,Divorced,Personal,2,1,Web,Four-Door Car,Midsize,1
TJ30081,Arizona,1,Basic,Bachelor,2011-02-10,Employed,M,Suburban,Single,Personal,2,1,Call Center,SUV,Midsize,2
FW44940,California,0,Basic,Bachelor,2011-02-10,Disabled,F,Suburban,Divorced,Personal,1,3,Web,Sports Car,Midsize,2
CS55808,California,0,Extended,College,2011-01-30,Unemployed,M,Suburban,Single,Personal,3,3,Branch,Four-Door Car,Midsize,1
WZ61178,California,0,Basic,Bachelor,2011-01-05,Medical Leave,F,Suburban,Married,Personal,2,1,Branch,Two-Door Car,Small,1
IV55977,Oregon,0,Basic,Bachelor,2011-02-11,Unemployed,M,Suburban,Married,Personal,3,2,Web,Two-Door Car,Small,2
YC67208,California,1,Basic,High School or Below,2011-01-05,Retired,M,Suburban,Married,Personal,3,3,Web,Four-Door Car,Midsize,1
LZ89773,California,0,Basic,Doctor,2011-02-17,Unemployed,M,Suburban,Married,Personal,3,3,Agent,Four-Door Car,Small,2
VF73104,Arizona,0,Basic,High School or Below,2011-02-06,Employed,F,Rural,Married,Personal,3,3,Agent,Four-Door Car,Midsize,2
OC80343,Oregon,0,Basic,Bachelor,2011-01-04,Employed,M,Rural,Single,Personal,2,1,Web,SUV,Midsize,1
EL89222,California,1,Basic,Bachelor,2011-01-14,Employed,F,Urban,Married,Personal,3,2,Branch,SUV,Midsize,1
QB14114,Oregon,0,Extended,High School or Below,2011-01-13,Employed,F,Urban,Single,Personal,3,1,Call Center,Sports Car,Midsize,1
HM41195,Arizona,0,Extended,High School or Below,2011-01-02,Medical Leave,M,Suburban,Married,Personal,3,4,Branch,Four-Door Car,Large,1
JT41591,Washington,0,Extended,College,2011-02-14,Unemployed,M,Suburban,Single,Personal,1,1,Agent,Four-Door Car,Large,2
HE15857,Washington,0,Extended,Bachelor,2011-02-18,Employed,M,Suburban,Single,Personal,3,1,Call Center,Two-Door Car,Midsize,2
JC33752,Oregon,0,Extended,College,2011-01-21,Employed,F,Suburban,Single,Personal,3,2,Agent,Two-Door Car,Large,1
JA25453,California,0,Premium,High School or Below,2011-02-25,Unemployed,M,Suburban,Single,Personal,2,1,Agent,Four-Door Car,Small,2
AJ69778,Oregon,0,Extended,High School or Below,2011-02-16,Employed,F,Rural,Divorced,Personal,3,2,Web,Four-Door Car,Midsize,2
EY89842,Arizona,0,Basic,Bachelor,2011-02-15,Unemployed,M,Suburban,Single,Corporate,3,1,Call Center,SUV,Midsize,2
TG69238,Oregon,0,Basic,Bachelor,2011-01-08,Employed,F,Urban,Married,Personal,2,1,Call Center,SUV,Small,1
UI63465,Oregon,0,Basic,High School or Below,2011-01-18,Employed,F,Suburban,Divorced,Corporate,1,1,Agent,Four-Door Car,Small,1
WX33904,Arizona,0,Basic,Bachelor,2011-01-17,Unemployed,M,Suburban,Divorced,Special,2,1,Branch,Two-Door Car,Midsize,1
HA20933,Oregon,0,Basic,Bachelor,2011-01-07,Medical Leave,F,Suburban,Married,Personal,2,1,Agent,SUV,Midsize,1
BU16704,Oregon,0,Extended,High School or Below,2011-02-08,Unemployed,F,Suburban,Single,Personal,1,2,Branch,Four-Door Car,Large,2
JV68002,Washington,1,Extended,College,2011-01-25,Retired,M,Suburban,Married,Corporate,1,1,Agent,Four-Door Car,Midsize,1
PM78410,Oregon,0,Basic,Bachelor,2011-01-24,Unemployed,F,Suburban,Single,Personal,3,1,Agent,Two-Door Car,Midsize,1
PU92298,Arizona,0,Basic,Bachelor,2011-01-27,Medical Leave,F,Suburban,Married,Personal,3,1,Call Center,Four-Door Car,Midsize,1
WV57813,Oregon,0,Basic,Bachelor,2011-02-18,Unemployed,F,Suburban,Single,Personal,2,1,Branch,Four-Door Car,Midsize,2
EW86465,Arizona,0,Basic,High School or Below,2011-02-07,Employed,M,Suburban,Married,Corporate,2,3,Web,Four-Door Car,Midsize,2
UW70224,Oregon,0,Basic,College,2011-01-26,Employed,F,Suburban,Married,Personal,1,2,Call Center,Four-Door Car,Small,1
LU12532,California,1,Extended,High School or Below,2011-02-19,Disabled,F,Suburban,Married,Personal,3,1,Agent,Two-Door Car,Small,2
WD48852,Oregon,0,Basic,College,2011-01-04,Unemployed,F,Suburban,Single,Special,2,3,Agent,Luxury SUV,Midsize,1
BH43379,Oregon,0,Extended,Bachelor,2011-01-02,Employed,F,Urban,Divorced,Personal,3,3,Branch,Four-Door Car,Large,1
GV59387,California,0,Basic,College,2011-01-08,Medical Leave,F,Urban,Married,Personal,2,1,Call Center,Two-Door Car,Large,1
LQ76410,Arizona,1,Extended,College,2011-01-05,Employed,M,Urban,Divorced,Special,1,2,Call Center,Four-Door Car,Midsize,1
MF19231,California,0,Extended,Master,2011-02-22,Employed,M,Suburban,Married,Personal,1,2,Call Center,Four-Door Car,Midsize,2
XS47087,Oregon,0,Basic,College,2011-01-22,Disabled,M,Suburban,Married,Personal,2,1,Agent,SUV,Midsize,1
IL56791,Oregon,0,Basic,Bachelor,2011-02-11,Unemployed,M,Suburban,Single,Personal,3,2,Agent,Two-Door Car,Midsize,2
UV88036,Nevada,0,Extended,High School or Below,2011-02-17,Unemployed,F,Suburban,Married,Personal,3,2,Agent,Four-Door Car,Midsize,2
SE76116,California,0,Basic,Bachelor,2011-01-29,Employed,M,Rural,Divorced,Personal,2,1,Branch,SUV,Midsize,1
PL78574,Arizona,1,Premium,High School or Below,2011-02-27,Employed,M,Suburban,Single,Personal,3,1,Agent,Four-Door Car,Midsize,2
NV69875,Oregon,0,Basic,High School or Below,2011-01-22,Employed,M,Rural,Married,Corporate,2,4,Branch,Four-Door Car,Midsize,1
MC38650,Nevada,0,Extended,High School or Below,2011-02-02,Employed,M,Rural,Married,Personal,3,2,Call Center,Two-Door Car,Midsize,2
No73819,California,0,Extended,Master,2011-01-15,Employed,F,Suburban,Married,Personal,1,2,Agent,Sports Car,Large,1
OW84864,California,0,Extended,College,2011-01-31,Unemployed,F,Suburban,Single,Personal,3,2,Web,Four-Door Car,Midsize,1
WQ54314,Oregon,0,Basic,Bachelor,2011-01-19,Employed,F,Suburban,Married,Personal,1,1,Agent,Four-Door Car,Small,1
JB51220,Oregon,0,Premium,High School or Below,2011-02-15,Unemployed,F,Suburban,Single,Corporate,2,1,Call Center,Sports Car,Midsize,2
EN77569,Oregon,1,Extended,College,2011-01-28,Employed,F,Suburban,Married,Special,3,2,Agent,Two-Door Car,Small,1
YP47665,Washington,0,Basic,Doctor,2011-01-25,Employed,M,Rural,Married,Personal,3,2,Agent,Four-Door Car,Midsize,1
QO54008,Oregon,0,Extended,Master,2011-01-08,Unemployed,M,Suburban,Divorced,Personal,3,1,Call Center,SUV,Small,1
EQ59908,California,1,Extended,Master,2011-01-16,Employed,M,Urban,Married,Corporate,3,3,Agent,Four-Door Car,Midsize,1
YU72540,Arizona,0,Basic,College,2011-02-08,Employed,F,Rural,Married,Personal,3,1,Call Center,Four-Door Car,Midsize,2
BZ50261,Arizona,0,Basic,High School or Below,2011-01-14,Employed,F,Rural,Married,Personal,2,4,Branch,Two-Door Car,Small,1
QE92747,Oregon,0,Premium,Bachelor,2011-01-13,Employed,F,Suburban,Married,Corporate,2,1,Agent,Four-Door Car,Midsize,1
KG83280,California,1,Extended,College,2011-02-12,Employed,F,Suburban,Divorced,Personal,1,1,Branch,Four-Door Car,Midsize,2
IL42365,Arizona,0,Extended,High School or Below,2011-01-29,Employed,F,Suburban,Married,Personal,2,1,Branch,Sports Car,Midsize,1
FI86516,Oregon,0,Basic,Bachelor,2011-01-26,Unemployed,F,Suburban,Single,Corporate,1,1,Agent,Four-Door Car,Small,1
FV14881,California,0,Basic,Doctor,2011-02-28,Employed,F,Suburban,Married,Personal,3,4,Call Center,Luxury SUV,Midsize,2
RR54950,Arizona,0,Basic,College,2011-02-27,Employed,M,Suburban,Married,Special,2,1,Branch,Four-Door Car,Small,2
FC70869,Arizona,0,Extended,High School or Below,2011-02-01,Employed,F,Suburban,Married,Personal,2,4,Web,Two-Door Car,Midsize,2
HO50571,California,1,Extended,College,2011-02-14,Employed,F,Suburban,Married,Personal,3,1,Branch,SUV,Midsize,2
PC42162,Oregon,0,Extended,Bachelor,2011-01-26,Unemployed,M,Suburban,Single,Personal,3,1,Branch,Two-Door Car,Midsize,1
KD21661,California,0,Premium,College,2011-02-05,Unemployed,M,Suburban,Single,Personal,2,1,Agent,SUV,Large,2
FZ73016,California,0,Basic,Bachelor,2011-02-09,Employed,F,Urban,Married,Personal,3,1,Call Center,SUV,Midsize,2
HJ19927,Nevada,0,Basic,Master,2011-02-16,Medical Leave,M,Rural,Married,Personal,3,3,Agent,Four-Door Car,Midsize,2
RJ99408,California,0,Basic,High School or Below,2011-02-23,Employed,M,Suburban,Married,Personal,1,3,Branch,Four-Door Car,Midsize,2
EL81968,Oregon,0,Extended,Bachelor,2011-02-15,Employed,M,Urban,Married,Personal,2,2,Call Center,Two-Door Car,Midsize,2
WU86174,California,0,Basic,Bachelor,2011-02-24,Unemployed,F,Suburban,Married,Personal,3,1,Branch,Four-Door Car,Midsize,2
DN21342,Oregon,0,Extended,College,2011-01-17,Unemployed,F,Suburban,Divorced,Personal,2,1,Web,Four-Door Car,Small,1
PB60406,California,0,Basic,Doctor,2011-02-25,Employed,F,Suburban,Single,Personal,3,1,Agent,Four-Door Car,Small,2
IY37465,Arizona,1,Basic,Bachelor,2011-01-26,Employed,M,Suburban,Married,Corporate,3,2,Call Center,Two-Door Car,Midsize,1
LF55270,Oregon,1,Extended,College,2011-02-01,Employed,F,Rural,Divorced,Personal,2,2,Agent,Four-Door Car,Midsize,2
UV69038,California,0,Extended,College,2011-01-11,Unemployed,M,Suburban,Single,Corporate,2,1,Branch,SUV,Midsize,1
IS63925,Arizona,1,Basic,College,2011-01-27,Retired,F,Suburban,Divorced,Personal,2,1,Agent,SUV,Small,1
PR21713,Nevada,1,Basic,High School or Below,2011-01-06,Employed,M,Urban,Married,Personal,3,2,Agent,Four-Door Car,Large,1
XE10977,Oregon,0,Basic,High School or Below,2011-01-01,Employed,F,Urban,Married,Personal,3,2,Web,Two-Door Car,Midsize,1
JG87029,Oregon,0,Basic,High School or Below,2011-01-04,Employed,M,Suburban,Single,Personal,2,2,Call Center,Two-Door Car,Small,1
WE19034,Oregon,0,Basic,College,2011-01-01,Employed,M,Suburban,Married,Corporate,2,4,Agent,Four-Door Car,Small,1
DF62718,California,0,Extended,High School or Below,2011-02-20,Employed,F,Suburban,Married,Personal,2,4,Agent,Four-Door Car,Large,2
MS59254,Washington,0,Premium,High School or Below,2011-01-27,Unemployed,M,Suburban,Married,Corporate,1,2,Branch,Two-Door Car,Small,1
WC65050,California,0,Basic,Master,2011-02-16,Employed,F,Suburban,Divorced,Personal,2,1,Branch,Two-Door Car,Midsize,2
ST27958,Washington,1,Basic,College,2011-02-11,Retired,M,Suburban,Single,Personal,3,1,Agent,Four-Door Car,Midsize,2
XZ81226,Arizona,0,Extended,Bachelor,2011-01-01,Employed,F,Suburban,Married,Personal,1,1,Branch,Four-Door Car,Midsize,1
TU53781,Oregon,1,Extended,Bachelor,2011-02-10,Employed,F,Suburban,Divorced,Corporate,3,1,Agent,Luxury SUV,Midsize,2
GC93551,Oregon,0,Basic,High School or Below,2011-02-27,Employed,F,Suburban,Divorced,Personal,3,1,Branch,Four-Door Car,Midsize,2
MO33279,California,0,Basic,College,2011-01-12,Employed,F,Suburban,Divorced,Personal,2,3,Agent,Two-Door Car,Midsize,1
PW90662,Oregon,0,Extended,College,2011-01-27,Employed,M,Urban,Single,Personal,2,1,Web,SUV,Midsize,1
HE84643,California,0,Basic,High School or Below,2011-02-01,Unemployed,F,Suburban,Single,Personal,3,2,Branch,Four-Door Car,Midsize,2
CL37990,Arizona,0,Extended,Bachelor,2011-01-13,Unemployed,F,Suburban,Single,Corporate,1,1,Call Center,Four-Door Car,Midsize,1
HR87252,California,0,Basic,Bachelor,2011-02-13,Employed,F,Suburban,Divorced,Personal,3,1,Branch,Sports Car,Midsize,2
